year,main_heading,italic_heading,donee,amount,donee_url
2010,Research and Publications,"Edmund A. Stanley, Jr. Research Grants",University of California,"$10,000",http://www.universityofcalifornia.edu/
2010,Technical Support,Dianne Kangisser Grant for Capacity Building,Community Resource Exchange,"$25,000",www.crenyc.org
2010,Technical Support,Dianne Kangisser Grant for Capacity Building,Institute for Labor and the Community,"$30,000",http://www.gp-bp.org/
2010,Technical Support,Dianne Kangisser Grant for Capacity Building,"Tapfound, Inc./Taproot Foundation","$25,000",www.taprootfoundation.org
2011,Advocacy,,Afterschool Alliance,"$40,000",www.afterschoolalliance.org
2011,Advocacy,,Good Shepherd Services,"$25,000",www.goodshepherds.org
2011,Advocacy,,New York State Afterschool Network (NYSAN),"$25,000",http://http://www.nysan.org/
2011,Advocacy,,The After-School Corporation,"$25,000",
2011,Advocacy,,United Neighborhood Houses,"$25,000",www.unhny.org
2011,Board Discretionary Grants,,College Bound,"$3,000",
2011,Board Discretionary Grants,,Cornell University,"$3,000",
2011,Board Discretionary Grants,,KidSpirit,"$3,000",
2011,Board Discretionary Grants,,Literacy Assistance Center,"$3,000",www.lacnyc.org
2011,Board Discretionary Grants,,Long Island University,"$3,000",
2011,Board Discretionary Grants,,Scenarios USA,"$3,000",
2011,Board Discretionary Grants,,US Conference of Catholic Bishops,"$3,000",
2011,Direct Service,Boutique CBO Programs,"Dorothy Bennett Mercy Center,Inc.","$25,000",www.dbmcenter
2011,Direct Service,Boutique CBO Programs,East Harlem Churches and Community Urban Centers (Booker T. Washington),"$25,000",http://bookert.org/
2011,Direct Service,Boutique CBO Programs,"Fresh Youth Initiatives, Inc.","$25,000",www.freshyouth.org
2011,Direct Service,Boutique CBO Programs,Rauschenbusch Metro Ministries,"$25,000",www.metrobaptistchurchnyc.org/rauschenbush/
2011,Direct Service,Community-based Programs,Arts Connection,"$30,000",http://www.artsconnection.org/
2011,Direct Service,Community-based Programs,Bronx Council on the Arts,"$30,000",www.bronxarts.org
2011,Direct Service,Community-based Programs,Coalition for Hispanic Family Services,"$30,000",www.hispanicfamilyservicesny.org
2011,Direct Service,Community-based Programs,"Community Fund, Inc.","$30,000",
2011,Direct Service,Community-based Programs,Educational Video Center,"$30,000",http://www.evc.org/
2011,Direct Service,Community-based Programs,Fund for the City of New York,"$30,000",http://www.fcny.org/
2011,Direct Service,Community-based Programs,Global Action Project (G.A.P.),"$30,000",www.global-action.org
2011,Direct Service,Community-based Programs,"Global Kids, Inc.","$30,000",www.globalkids.org
2011,Direct Service,Community-based Programs,Henry Street Settlement,"$30,000",www.henrystreet.org
2011,Direct Service,Community-based Programs,Horticultural Society of New York,"$30,000",www.hsny.org
2011,Direct Service,Community-based Programs,"Hour Children, Inc.","$30,000",www.HourChildren.org
2011,Direct Service,Community-based Programs,"Ifetayo Cultural Arts Academy, Inc.","$30,000",www.ifetayo.org
2011,Direct Service,Community-based Programs,Jacob A. Riis Neighborhood Settlement,"$30,000",www.riissettlement.org
2011,Direct Service,Community-based Programs,The Door,"$30,000",http://www.door.org/
2011,Direct Service,Community-based Programs,The Reading Team,"$30,000",http://www.readingteam.org/
2011,Direct Service,Community-based Programs,WNYC Radio- Radio Rookies,"$30,000",www.wnyc.org
2011,Julia Palmer Award for Library Development,,Queens Community House,"$5,000",www.queenscommunityhouse.org
2011,Research and Publications,Afterschool Matters Initiative,National Institute on Out-of-School Time (NIOST),"$432,288",http://www.niost.org
2011,Research and Publications,"Edmund A. Stanley, Jr. Research Grants",Pennsylvania State University,"$10,000",www.psu.edu/
2011,Research and Publications,"Edmund A. Stanley, Jr. Research Grants",Rutgers University,"$10,000",www.rutgers.edu/
2011,Research and Publications,"Edmund A. Stanley, Jr. Research Grants",Teachers College of Columbia University,"$10,000",www.tc.columbia.edu/
2011,Research and Publications,"Edmund A. Stanley, Jr. Research Grants",University of California,"$10,000",http://www.universityofcalifornia.edu/
2011,Technical Support,Dianne Kangisser Grant for Capacity Building,"Center for Educational Options, Inc.","$20,000",
2011,Technical Support,Dianne Kangisser Grant for Capacity Building,"Center for Educational Options, Inc.","$60,000",
2011,Technical Support,Dianne Kangisser Grant for Capacity Building,Community Resource Exchange,"$90,000",www.crenyc.org
2011,Technical Support,Dianne Kangisser Grant for Capacity Building,Institute for Labor and the Community,"$30,000",http://www.gp-bp.org/
2011,Technical Support,Dianne Kangisser Grant for Capacity Building,National Writing Project,"$60,000",http://www.nwp.org/
2012,Advocacy,,Afterschool Alliance,"$50,000",www.afterschoolalliance.org
2012,Advocacy,,Citizens' Committee for Children,"$20,000",www.cccnewyork.org
2012,Advocacy,,Good Shepherd Services,"$25,000",www.goodshepherds.org
2012,Advocacy,,The After-School Corporation,"$25,000",
2012,Advocacy,,The After-School Corporation,"$25,000",
2012,Advocacy,,United Neighborhood Houses,"$25,000",www.unhny.org
2012,Direct Service,Community-based Programs,Arts Connection,"$35,000",http://www.artsconnection.org/
2012,Direct Service,Community-based Programs,Bronx Council on the Arts,"$35,000",www.bronxarts.org
2012,Direct Service,Community-based Programs,Bronx Works,"$35,000",www.bronxworks.org
2012,Direct Service,Community-based Programs,Coalition for Hispanic Family Services,"$35,000",www.hispanicfamilyservicesny.org
2012,Direct Service,Community-based Programs,"Dorothy Bennett Mercy Center,Inc.","$30,000",www.dbmcenter
2012,Direct Service,Community-based Programs,East Harlem Churches and Community Urban Centers (Booker T. Washington),"$30,000",http://bookert.org/
2012,Direct Service,Community-based Programs,Educational Video Center,"$35,000",http://www.evc.org/
2012,Direct Service,Community-based Programs,"Fiver Children's Foundation, Inc.","$35,000",www.fiver.org
2012,Direct Service,Community-based Programs,"Free Arts for Abused Children of New York City, Inc.","$35,000",www.freeartsnyc.org
2012,Direct Service,Community-based Programs,"Fresh Youth Initiatives, Inc.","$30,000",www.freshyouth.org
2012,Direct Service,Community-based Programs,Fund for the City of New York,"$35,000",http://www.fcny.org/
2012,Direct Service,Community-based Programs,Global Action Project (G.A.P.),"$35,000",www.global-action.org
2012,Direct Service,Community-based Programs,"Global Kids, Inc.","$35,000",www.globalkids.org
2012,Direct Service,Community-based Programs,Goddard Riverside Community Center,"$35,000",www.goddard.org
2012,Direct Service,Community-based Programs,Henry Street Settlement,"$35,000",www.henrystreet.org
2012,Direct Service,Community-based Programs,Horticultural Society of New York,"$35,000",www.hsny.org
2012,Direct Service,Community-based Programs,"Hour Children, Inc.","$30,000",www.HourChildren.org
2012,Direct Service,Community-based Programs,"Ifetayo Cultural Arts Academy, Inc.","$35,000",www.ifetayo.org
2012,Direct Service,Community-based Programs,Jacob A. Riis Neighborhood Settlement,"$35,000",www.riissettlement.org
2012,Direct Service,Community-based Programs,"Knox Gates Neighborhood Association, Inc. (The Cove)","$30,000",
2012,Direct Service,Community-based Programs,National Book Foundation,"$35,000",
2012,Direct Service,Community-based Programs,"New Settlement Apartments- Crenulated Company, Ltd.","$35,000",
2012,Direct Service,Community-based Programs,New York City Street Tree Consortium,"$35,000",www.treesny.com
2012,Direct Service,Community-based Programs,"Operation Exodus Inner City, Inc.","$30,000",www.operationexodus.org
2012,Direct Service,Community-based Programs,Point Community Development Corporation,"$35,000",www.thepoint.org
2012,Direct Service,Community-based Programs,Queens Community House,"$35,000",www.queenscommunityhouse.org
2012,Direct Service,Community-based Programs,Rauschenbusch Metro Ministries,"$30,000",www.metrobaptistchurchnyc.org/rauschenbush/
2012,Direct Service,Community-based Programs,Reading Team,"$30,000",www.readingteam.org
2012,Direct Service,Community-based Programs,"Riverdale Neighborhood House, Inc.","$35,000",www.riverdaleonline.org
2012,Direct Service,Community-based Programs,"South Asian Youth Action, Inc.","$35,000",www.saya.org
2012,Direct Service,Community-based Programs,Stanley Isaacs Neighborhood Center,"$35,000",www.isaacscenter.org
2012,Direct Service,Community-based Programs,The Door,"$35,000",http://www.door.org/
2012,Direct Service,Community-based Programs,"Union Settlement Association, Inc.","$35,000",www.unionsettlement.org
2012,Direct Service,Community-based Programs,WNYC Radio- Radio Rookies,"$35,000",www.wnyc.org
2012,Direct Service,Community-based Programs,Youth Communications,"$50,000",www.youthcomm.org
2012,Julia Palmer Award for Library Development,,Bronx Works,"$5,000",www.bronxworks.org
2012,Julia Palmer Award for Library Development,,Coalition for Hispanic Family Services,"$5,000",www.hispanicfamilyservicesny.org
2012,Julia Palmer Award for Library Development,,"Fiver Children's Foundation, Inc.","$5,000",www.fiver.org
2012,Julia Palmer Award for Library Development,,"Global Kids, Inc.","$5,000",www.globalkids.org
2012,Julia Palmer Award for Library Development,,Henry Street Settlement,"$5,000",www.henrystreet.org
2012,Julia Palmer Award for Library Development,,"Ifetayo Cultural Arts Academy, Inc.","$5,000",www.ifetayo.org
2012,Julia Palmer Award for Library Development,,Point Community Development Corporation,"$5,000",www.thepoint.org
2012,Julia Palmer Award for Library Development,,Queens Community House,"$5,000",www.queenscommunityhouse.org
2012,Julia Palmer Award for Library Development,,Stanley Isaacs Neighborhood Center,"$5,000",www.isaacscenter.org
2012,Research and Publications,Afterschool Matters Initiative,National Institute on Out-of-School Time (NIOST),"$437,741",http://www.niost.org
2012,Research and Publications,Afterschool Matters Initiative,National Writing Project,"$75,000",http://www.nwp.org/
2012,Technical Support,Dianne Kangisser Grant for Capacity Building,"Center for Educational Options, Inc.","$70,000",
2012,Technical Support,Dianne Kangisser Grant for Capacity Building,Community Resource Exchange,"$90,000",www.crenyc.org
2012,Technical Support,Dianne Kangisser Grant for Capacity Building,Institute for Labor and the Community,"$35,000",http://www.gp-bp.org/
2012,Technical Support,Dianne Kangisser Grant for Capacity Building,"Tapfound, Inc./Taproot Foundation","$30,000",www.taprootfoundation.org
2012,Technical Support,Dianne Kangisser Grant for Capacity Building,VCG Governance Matters,"$15,000",
2012,Trustee Discretionary Grants,,"Capitol Letters Writing Center, Inc.","$3,000",
2012,Trustee Discretionary Grants,,Community Day Charter Public School,"$3,000",
2012,Trustee Discretionary Grants,,Cornell University,"$3,000",
2012,Trustee Discretionary Grants,,KidSpirit,"$3,000",
2012,Trustee Discretionary Grants,,Lavelle School for the Blind,"$3,000",
2012,Trustee Discretionary Grants,,Literacy Assistance Center,"$3,000",www.lacnyc.org
2012,Trustee Discretionary Grants,,Long Island University,"$3,000",
2013,Advocacy,,Afterschool Alliance,"$75,000",www.afterschoolalliance.org
2013,Advocacy,,Citizens' Committee for Children,"$50,000",www.cccnewyork.org
2013,Advocacy,,Good Shepherd Services,"$50,000",www.goodshepherds.org
2013,Advocacy,,The After-School Corporation,"$25,000",
2013,Advocacy,,The After-School Corporation,"$25,000",
2013,Advocacy,,United Neighborhood Houses,"$25,000",www.unhny.org
2013,Board Discretionary Grants,,"Capitol Letters Writing Center, Inc.","$3,000",
2013,Board Discretionary Grants,,Community Day Charter Public School,"$3,000",
2013,Board Discretionary Grants,,Cornell University,"$3,000",
2013,Board Discretionary Grants,,KidSpirit,"$3,000",
2013,Board Discretionary Grants,,Lavelle School for the Blind,"$3,000",
2013,Board Discretionary Grants,,Literacy Assistance Center,"$3,000",www.lacnyc.org
2013,Board Discretionary Grants,,Long Island University,"$3,000",
2013,Direct Service,Community-based Programs,Arts Connection,"$30,000",http://www.artsconnection.org/
2013,Direct Service,Community-based Programs,Big & Little Productions,"$30,000",
2013,Direct Service,Community-based Programs,Bronx Council on the Arts,"$30,000",www.bronxarts.org
2013,Direct Service,Community-based Programs,Bronx Works,"$30,000",www.bronxworks.org
2013,Direct Service,Community-based Programs,Coalition for Hispanic Family Services,"$30,000",www.hispanicfamilyservicesny.org
2013,Direct Service,Community-based Programs,"Dorothy Bennett Mercy Center,Inc.","$30,000",www.dbmcenter
2013,Direct Service,Community-based Programs,Educational Video Center,"$30,000",http://www.evc.org/
2013,Direct Service,Community-based Programs,"Free Arts for Abused Children of New York City, Inc.","$30,000",www.freeartsnyc.org
2013,Direct Service,Community-based Programs,"Fresh Youth Initiatives, Inc.","$30,000",www.freshyouth.org
2013,Direct Service,Community-based Programs,Global Action Project (G.A.P.),"$30,000",www.global-action.org
2013,Direct Service,Community-based Programs,"Global Kids, Inc.","$30,000",www.globalkids.org
2013,Direct Service,Community-based Programs,Goddard Riverside Community Center,"$30,000",www.goddard.org
2013,Direct Service,Community-based Programs,Henry Street Settlement,"$30,000",www.henrystreet.org
2013,Direct Service,Community-based Programs,Horticultural Society of New York,"$30,000",www.hsny.org
2013,Direct Service,Community-based Programs,"Ifetayo Cultural Arts Academy, Inc.","$30,000",www.ifetayo.org
2013,Direct Service,Community-based Programs,Institute for Labor and the Community,"$30,000",http://www.gp-bp.org/
2013,Direct Service,Community-based Programs,Jacob A. Riis Neighborhood Settlement,"$30,000",www.riissettlement.org
2013,Direct Service,Community-based Programs,"Knox Gates Neighborhood Association, Inc. (The Cove)","$30,000",
2013,Direct Service,Community-based Programs,National Book Foundation,"$30,000",
2013,Direct Service,Community-based Programs,New York City Street Tree Consortium,"$30,000",www.treesny.com
2013,Direct Service,Community-based Programs,Point Community Development Corporation,"$30,000",www.thepoint.org
2013,Direct Service,Community-based Programs,Queens Community House,"$30,000",www.queenscommunityhouse.org
2013,Direct Service,Community-based Programs,Rauschenbusch Metro Ministries,"$30,000",www.metrobaptistchurchnyc.org/rauschenbush/
2013,Direct Service,Community-based Programs,"Riverdale Neighborhood House, Inc.","$30,000",www.riverdaleonline.org
2013,Direct Service,Community-based Programs,"South Asian Youth Action, Inc.","$30,000",www.saya.org
2013,Direct Service,Community-based Programs,Stanley Isaacs Neighborhood Center,"$30,000",www.isaacscenter.org
2013,Direct Service,Community-based Programs,The Reading Team,"$30,000",http://www.readingteam.org/
2013,Direct Service,Community-based Programs,"Union Settlement Association, Inc.","$30,000",www.unionsettlement.org
2013,Direct Service,Community-based Programs,Youth Communications,"$30,000",www.youthcomm.org
2013,Julia Palmer Award for Library Development,,Bronx Works,"$5,000",www.bronxworks.org
2013,Julia Palmer Award for Library Development,,Coalition for Hispanic Family Services,"$5,000",www.hispanicfamilyservicesny.org
2013,Julia Palmer Award for Library Development,,"Dorothy Bennett Mercy Center,Inc.","$5,000",www.dbmcenter
2013,Julia Palmer Award for Library Development,,"Fiver Children's Foundation, Inc.","$5,000",www.fiver.org
2013,Julia Palmer Award for Library Development,,"Global Kids, Inc.","$5,000",www.globalkids.org
2013,Julia Palmer Award for Library Development,,Henry Street Settlement,"$5,000",www.henrystreet.org
2013,Julia Palmer Award for Library Development,,"Ifetayo Cultural Arts Academy, Inc.","$5,000",www.ifetayo.org
2013,Julia Palmer Award for Library Development,,Point Community Development Corporation,"$5,000",www.thepoint.org
2013,Julia Palmer Award for Library Development,,Queens Community House,"$5,000",www.queenscommunityhouse.org
2013,Julia Palmer Award for Library Development,,Rauschenbusch Metro Ministries,"$5,000",www.metrobaptistchurchnyc.org/rauschenbush/
2013,Julia Palmer Award for Library Development,,"South Asian Youth Action, Inc.","$5,000",www.saya.org
2013,Julia Palmer Award for Library Development,,"Union Settlement Association, Inc.","$5,000",www.unionsettlement.org
2013,Research and Publications,Afterschool Matters Initiative,National Writing Project,"$75,000",http://www.nwp.org/
2013,Research and Publications,"Edmund A. Stanley, Jr. Research Grants",Research Foundation of CUNY,"$25,000",http://web.gc.cuny.edu/che/
2013,Research and Publications,"Edmund A. Stanley, Jr. Research Grants",San Francisco State University,"$25,000",
2013,Technical Support,Dianne Kangisser Grant for Capacity Building,"Center for Educational Options, Inc.","$75,000",
2013,Technical Support,Dianne Kangisser Grant for Capacity Building,Community Resource Exchange,"$90,000",www.crenyc.org
2013,Technical Support,Dianne Kangisser Grant for Capacity Building,New York Hall of Science,"$15,000",www.nyscience.org
2013,Technical Support,Dianne Kangisser Grant for Capacity Building,"Tapfound, Inc./Taproot Foundation","$30,000",www.taprootfoundation.org
2013,Technical Support,Dianne Kangisser Grant for Capacity Building,VCG Governance Matters,"$25,000",
2014,Advocacy,,Afterschool Alliance,"$75,000",www.afterschoolalliance.org
2014,Advocacy,,Citizens' Committee for Children,"$50,000",www.cccnewyork.org
2014,Advocacy,,Good Shepherd Services,"$100,000",www.goodshepherds.org
2014,Advocacy,,The After-School Corporation,"$20,000",
2014,Advocacy,,The After-School Corporation,"$50,000",
2014,Advocacy,,The After-School Corporation,"$40,000",
2014,Advocacy,,United Neighborhood Houses,"$50,000",www.unhny.org
2014,Board Discretionary Grants,,826DC,"$3,000",
2014,Board Discretionary Grants,,KidSpirit,"$3,000",
2014,Board Discretionary Grants,,Lavelle School for the Blind,"$3,000",
2014,Board Discretionary Grants,,Lawyers for Children,"$1,500",
2014,Board Discretionary Grants,,Literacy Assistance Center,"$3,000",www.lacnyc.org
2014,Board Discretionary Grants,,Long Island University,"$3,000",
2014,Board Discretionary Grants,,NAACP Legal Defense and Educational Fund,"$1,500",
2014,Julia Palmer Award for Library Development,,Bronx Works,"$5,000",www.bronxworks.org
2014,Julia Palmer Award for Library Development,,Brotherhood and Sister Sol,"$5,000",www.Brotherhood-SisterSol.org
2014,Julia Palmer Award for Library Development,,"Center for Educational Options, Inc.","$80,000",
2014,Julia Palmer Award for Library Development,,Coalition for Hispanic Family Services,"$5,000",www.hispanicfamilyservicesny.org
2014,Julia Palmer Award for Library Development,,"Dorothy Bennett Mercy Center,Inc.","$5,000",www.dbmcenter
2014,Julia Palmer Award for Library Development,,"Fiver Children's Foundation, Inc.","$5,000",www.fiver.org
2014,Julia Palmer Award for Library Development,,Henry Street Settlement,"$5,000",www.henrystreet.org
2014,Julia Palmer Award for Library Development,,"Ifetayo Cultural Arts Academy, Inc.","$5,000",www.ifetayo.org
2014,Julia Palmer Award for Library Development,,Point Community Development Corporation,"$5,000",www.thepoint.org
2014,Julia Palmer Award for Library Development,,Queens Community House,"$5,000",www.queenscommunityhouse.org
2014,Julia Palmer Award for Library Development,,Rauschenbusch Metro Ministries,"$5,000",www.metrobaptistchurchnyc.org/rauschenbush/
2014,Julia Palmer Award for Library Development,,"South Asian Youth Action, Inc.","$5,000",www.saya.org
2014,Julia Palmer Award for Library Development,,"Union Settlement Association, Inc.","$5,000",www.unionsettlement.org
2014,Planning & General Operating,,"Center for Educational Options, Inc.","$10,000",
2014,Planning & General Operating,,Community Resource Exchange,"$90,000",www.crenyc.org
2014,Planning & General Operating,,Kennesaw State University Research & Service Foundation,"$200,000",
2014,Planning & General Operating,,National Afterschool Association,"$25,000",http://www.naaweb.org/
2014,Research and Publications,,Teachers College of Columbia University,"$25,000",www.tc.columbia.edu/
2014,Research and Publications,"Edmund A. Stanley, Jr. Research Grants",Michigan State University,"$25,000",
2014,Research and Publications,"Edmund A. Stanley, Jr. Research Grants",University of Pittsburgh,"$25,000",
2014,Technical Support,,"Center for Educational Options, Inc.","$110,000",
2014,Technical Support,,"Center for Educational Options, Inc.","$10,000",
2014,Technical Support,,"Tapfound, Inc./Taproot Foundation","$30,000",www.taprootfoundation.org
